AREA,AREA_TITLE,GeoFIPS,GeoName,match_rule
10180,"Abilene, TX",10180,"Abilene, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10420,"Akron, OH",10420,"Akron, OH (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10500,"Albany, GA",10500,"Albany, GA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10540,"Albany, OR",10540,"Albany, OR (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10580,"Albany-Schenectady-Troy, NY",10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10740,"Albuquerque, NM",10740,"Albuquerque, NM (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10780,"Alexandria, LA",10780,"Alexandria, LA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
10900,"Allentown-Bethlehem-Easton, PA-NJ",10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11020,"Altoona, PA",11020,"Altoona, PA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11100,"Amarillo, TX",11100,"Amarillo, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11180,"Ames, IA",11180,"Ames, IA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11200,"Amherst Town-Northampton, MA",11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11260,"Anchorage, AK",11260,"Anchorage, AK (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11460,"Ann Arbor, MI",11460,"Ann Arbor, MI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11500,"Anniston-Oxford, AL",11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11540,"Appleton, WI",11540,"Appleton, WI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
11700,"Asheville, NC",11700,"Asheville, NC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12020,"Athens-Clarke County, GA",12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12060,"Atlanta-Sandy Springs-Roswell, GA",12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12100,"Atlantic City-Hammonton, NJ",12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12220,"Auburn-Opelika, AL",12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12260,"Augusta-Richmond County, GA-SC",12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12420,"Austin-Round Rock-San Marcos, TX",12420,"Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12540,"Bakersfield-Delano, CA",12540,"Bakersfield-Delano, CA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12580,"Baltimore-Columbia-Towson, MD",12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12620,"Bangor, ME",12620,"Bangor, ME (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
12700,"Barnstable Town, MA",12700,"Barnstable Town, MA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
