AREA,AREA_TITLE,AREA_TYPE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,A_MEDIAN,A_PCT25,A_PCT75,TOT_EMP
10180,"Abilene, TX",4,00-0000,All Occupations,total,53530,42120,29640,61020,74090
10180,"Abilene, TX",4,11-0000,Management Occupations,major,104150,87420,61250,127230,5420
10180,"Abilene, TX",4,11-1011,Chief Executives,detailed,213250,177520,107040,#,50
10180,"Abilene, TX",4,11-1021,General and Operations Managers,detailed,99130,77340,50640,121970,2240
10180,"Abilene, TX",4,11-2021,Marketing Managers,detailed,124300,104030,82560,153630,140
10180,"Abilene, TX",4,11-2022,Sales Managers,detailed,126370,118610,71860,161480,310
10180,"Abilene, TX",4,11-2032,Public Relations Managers,detailed,92520,78830,65920,118580,50
10180,"Abilene, TX",4,11-3012,Administrative Services Managers,detailed,106840,100480,79870,130300,110
10180,"Abilene, TX",4,11-3013,Facilities Managers,detailed,91190,85010,73000,105450,60
10180,"Abilene, TX",4,11-3021,Computer and Information Systems Managers,detailed,139430,129800,97690,168150,140
10180,"Abilene, TX",4,11-3031,Financial Managers,detailed,139360,126760,95730,164430,280
10180,"Abilene, TX",4,11-3051,Industrial Production Managers,detailed,103750,97210,76950,124780,80
10180,"Abilene, TX",4,11-3071,"Transportation, Storage, and Distribution Managers",detailed,86340,83310,63200,102710,110
10180,"Abilene, TX",4,11-3121,Human Resources Managers,detailed,117590,103620,82570,134140,70
10180,"Abilene, TX",4,11-3131,Training and Development Managers,detailed,118180,114770,80560,144680,30
10180,"Abilene, TX",4,11-9021,Construction Managers,detailed,94850,81750,65760,108840,170
10180,"Abilene, TX",4,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,84500,78950,77770,99480,200
10180,"Abilene, TX",4,11-9033,"Education Administrators, Postsecondary",detailed,97750,93860,73260,120130,170
10180,"Abilene, TX",4,11-9039,"Education Administrators, All Other",detailed,74030,77820,55150,77820,30
10180,"Abilene, TX",4,11-9041,Architectural and Engineering Managers,detailed,152820,147230,113170,182420,40
10180,"Abilene, TX",4,11-9051,Food Service Managers,detailed,64040,59530,48190,74720,130
10180,"Abilene, TX",4,11-9111,Medical and Health Services Managers,detailed,112670,101590,78610,127230,460
10180,"Abilene, TX",4,11-9141,"Property, Real Estate, and Community Association Managers",detailed,71650,57130,43460,88870,150
10180,"Abilene, TX",4,11-9151,Social and Community Service Managers,detailed,65360,63130,49990,75630,110
10180,"Abilene, TX",4,11-9199,"Managers, All Other",detailed,128490,119660,82090,155850,130
10180,"Abilene, TX",4,13-0000,Business and Financial Operations Occupations,major,72660,64700,49200,84640,2990
10180,"Abilene, TX",4,13-1020,Buyers and Purchasing Agents,detailed,65070,60900,46970,76920,130
10180,"Abilene, TX",4,13-1041,Compliance Officers,detailed,68450,62120,53520,80620,170
10180,"Abilene, TX",4,13-1051,Cost Estimators,detailed,65790,60780,45410,85690,110
10180,"Abilene, TX",4,13-1071,Human Resources Specialists,detailed,63200,59040,46650,74980,310
10180,"Abilene, TX",4,13-1081,Logisticians,detailed,69830,71700,52400,82410,50
10180,"Abilene, TX",4,13-1082,Project Management Specialists,detailed,87890,78190,60130,100930,300
10180,"Abilene, TX",4,13-1111,Management Analysts,detailed,93720,74730,62460,98550,100
10180,"Abilene, TX",4,13-1121,"Meeting, Convention, and Event Planners",detailed,47430,43760,39730,56330,30
10180,"Abilene, TX",4,13-1131,Fundraisers,detailed,58690,53540,45200,68640,50
10180,"Abilene, TX",4,13-1151,Training and Development Specialists,detailed,57890,54610,46110,69570,200
10180,"Abilene, TX",4,13-1161,Market Research Analysts and Marketing Specialists,detailed,59170,51880,44390,69250,170
10180,"Abilene, TX",4,13-1199,"Business Operations Specialists, All Other",detailed,72980,71360,51280,89460,300
10180,"Abilene, TX",4,13-2011,Accountants and Auditors,detailed,80830,71920,59990,88630,530
10180,"Abilene, TX",4,13-2020,Property Appraisers and Assessors,detailed,69360,64160,48460,89990,40
10180,"Abilene, TX",4,13-2051,Financial and Investment Analysts,detailed,91140,81840,65980,110450,70
10180,"Abilene, TX",4,13-2052,Personal Financial Advisors,detailed,113790,90810,62550,98530,50
10180,"Abilene, TX",4,13-2071,Credit Counselors,detailed,41160,39790,37450,43090,30
10180,"Abilene, TX",4,13-2072,Loan Officers,detailed,70220,59270,46800,76050,110
10180,"Abilene, TX",4,15-0000,Computer and Mathematical Occupations,major,80620,73570,50170,102510,1100
10180,"Abilene, TX",4,15-1211,Computer Systems Analysts,detailed,87040,80740,59560,99840,90
10180,"Abilene, TX",4,15-1231,Computer Network Support Specialists,detailed,58830,58150,48170,63900,40
10180,"Abilene, TX",4,15-1232,Computer User Support Specialists,detailed,47940,45240,38000,56160,260
10180,"Abilene, TX",4,15-1244,Network and Computer Systems Administrators,detailed,76300,73570,56320,93760,100
10180,"Abilene, TX",4,15-1252,Software Developers,detailed,105960,102870,76530,124790,260
10180,"Abilene, TX",4,15-1253,Software Quality Assurance Analysts and Testers,detailed,98590,82590,60750,135600,50
10180,"Abilene, TX",4,15-1299,"Computer Occupations, All Other",detailed,88210,85490,64050,107240,90
10180,"Abilene, TX",4,15-2051,Data Scientists,detailed,93530,95310,65090,112730,50
10180,"Abilene, TX",4,17-0000,Architecture and Engineering Occupations,major,87070,76090,58390,103190,800
10180,"Abilene, TX",4,17-2051,Civil Engineers,detailed,86010,74150,60070,95960,190
10180,"Abilene, TX",4,17-2071,Electrical Engineers,detailed,112950,97290,79710,126700,70
10180,"Abilene, TX",4,17-2141,Mechanical Engineers,detailed,104890,97530,80730,118610,70
10180,"Abilene, TX",4,17-3011,Architectural and Civil Drafters,detailed,64480,61480,47590,72310,60
10180,"Abilene, TX",4,17-3022,Civil Engineering Technologists and Technicians,detailed,57360,51380,44990,61090,30
10180,"Abilene, TX",4,17-3031,Surveying and Mapping Technicians,detailed,50500,44750,35890,60680,50
10180,"Abilene, TX",4,19-0000,"Life, Physical, and Social Science Occupations",major,72740,67780,50060,86940,410
10180,"Abilene, TX",4,19-3033,Clinical and Counseling Psychologists,detailed,75730,77470,67660,88690,30
10180,"Abilene, TX",4,19-3034,School Psychologists,detailed,80030,75250,68140,94400,60
10180,"Abilene, TX",4,19-3099,"Social Scientists and Related Workers, All Other",detailed,69640,77380,35480,86940,40
10180,"Abilene, TX",4,19-5011,Occupational Health and Safety Specialists,detailed,68960,66060,49680,82560,60
10180,"Abilene, TX",4,21-0000,Community and Social Service Occupations,major,53100,49490,42620,60320,1530
10180,"Abilene, TX",4,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,54980,53580,43260,67060,330
10180,"Abilene, TX",4,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,62900,49920,40050,71860,140
10180,"Abilene, TX",4,21-1021,"Child, Family, and School Social Workers",detailed,51370,49490,44020,58410,330
10180,"Abilene, TX",4,21-1022,Healthcare Social Workers,detailed,64130,59950,50380,76700,80
10180,"Abilene, TX",4,21-1023,Mental Health and Substance Abuse Social Workers,detailed,56300,48310,42670,77470,70
10180,"Abilene, TX",4,21-1091,Health Education Specialists,detailed,55430,48500,48500,56870,30
10180,"Abilene, TX",4,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,53240,51900,48520,58720,80
10180,"Abilene, TX",4,21-1093,Social and Human Service Assistants,detailed,42600,42620,35830,48920,280
10180,"Abilene, TX",4,21-1094,Community Health Workers,detailed,45210,45240,40040,45240,40
10180,"Abilene, TX",4,21-1099,"Community and Social Service Specialists, All Other",detailed,46830,46190,36050,57680,40
10180,"Abilene, TX",4,21-2011,Clergy,detailed,50730,47230,42660,55540,40
10180,"Abilene, TX",4,23-0000,Legal Occupations,major,86790,60320,44870,102590,330
10180,"Abilene, TX",4,23-1011,Lawyers,detailed,122770,96870,77440,136180,160
10180,"Abilene, TX",4,23-2011,Paralegals and Legal Assistants,detailed,49770,47410,39000,59740,90
10180,"Abilene, TX",4,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,54420,49040,45260,65610,40
10180,"Abilene, TX",4,25-0000,Educational Instruction and Library Occupations,major,52640,51060,29590,59910,5240
10180,"Abilene, TX",4,25-1011,"Business Teachers, Postsecondary",detailed,101230,81110,52880,132090,90
10180,"Abilene, TX",4,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,86930,78940,59960,98220,30
10180,"Abilene, TX",4,25-1042,"Biological Science Teachers, Postsecondary",detailed,84130,77120,62490,101130,40
10180,"Abilene, TX",4,25-1066,"Psychology Teachers, Postsecondary",detailed,77540,74870,58090,84780,30
10180,"Abilene, TX",4,25-1071,"Health Specialties Teachers, Postsecondary",detailed,95030,86900,84790,106290,100
10180,"Abilene, TX",4,25-1081,"Education Teachers, Postsecondary",detailed,71280,64540,52670,81630,60
10180,"Abilene, TX",4,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,110900,74800,56440,124810,80
10180,"Abilene, TX",4,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,84560,72740,50380,95400,50
10180,"Abilene, TX",4,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,74760,63290,62070,75250,40
10180,"Abilene, TX",4,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,64130,61720,59350,76400,120
10180,"Abilene, TX",4,25-1199,"Postsecondary Teachers, All Other",detailed,67020,63150,50280,77220,30
10180,"Abilene, TX",4,25-2011,"Preschool Teachers, Except Special Education",detailed,34680,31300,27040,35470,190
10180,"Abilene, TX",4,25-2012,"Kindergarten Teachers, Except Special Education",detailed,52080,51640,51410,57560,80
10180,"Abilene, TX",4,25-2021,"Elementary School Teachers, Except Special Education",detailed,52620,51500,50370,57780,670
10180,"Abilene, TX",4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,54270,57300,51100,59630,420
10180,"Abilene, TX",4,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,54840,57770,50100,59870,590
10180,"Abilene, TX",4,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,59620,59030,50790,61510,160
10180,"Abilene, TX",4,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,54720,58660,47280,59720,180
10180,"Abilene, TX",4,25-2057,"Special Education Teachers, Middle School",detailed,55950,57060,51430,57670,30
10180,"Abilene, TX",4,25-2058,"Special Education Teachers, Secondary School",detailed,54000,57790,51360,57790,50
10180,"Abilene, TX",4,25-3021,Self-Enrichment Teachers,detailed,42640,34270,29320,49130,70
10180,"Abilene, TX",4,25-3031,"Substitute Teachers, Short-Term",detailed,28360,28380,28380,28380,490
10180,"Abilene, TX",4,25-3099,"Teachers and Instructors, All Other",detailed,53940,48630,34180,66820,30
10180,"Abilene, TX",4,25-4022,Librarians and Media Collections Specialists,detailed,54360,52310,46230,60400,50
10180,"Abilene, TX",4,25-4031,Library Technicians,detailed,34260,34910,29360,37950,40
10180,"Abilene, TX",4,25-9031,Instructional Coordinators,detailed,65660,66190,49590,85270,230
10180,"Abilene, TX",4,25-9044,"Teaching Assistants, Postsecondary",detailed,45710,47470,32920,57370,40
10180,"Abilene, TX",4,25-9045,"Teaching Assistants, Except Postsecondary",detailed,26840,27860,22410,28610,740
10180,"Abilene, TX",4,25-9099,"Educational Instruction and Library Workers, All Other",detailed,46660,47600,43460,48800,80
10180,"Abilene, TX",4,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,48200,40290,30990,57950,710
10180,"Abilene, TX",4,27-1024,Graphic Designers,detailed,47150,47040,34620,58260,60
10180,"Abilene, TX",4,27-1026,Merchandise Displayers and Window Trimmers,detailed,35670,33920,30700,38170,130
10180,"Abilene, TX",4,27-2012,Producers and Directors,detailed,50730,41600,38150,58200,40
10180,"Abilene, TX",4,27-2022,Coaches and Scouts,detailed,47720,40550,28010,48910,140
10180,"Abilene, TX",4,27-3031,Public Relations Specialists,detailed,59110,50250,39450,73010,140
10180,"Abilene, TX",4,29-0000,Healthcare Practitioners and Technical Occupations,major,97190,77860,56280,99090,5890
10180,"Abilene, TX",4,29-1021,"Dentists, General",detailed,214960,188950,104310,#,60
