metro_area,soc_code,status,missing_reason,nominal_wage_mean,nominal_wage_median,bea_rpp_value,adjusted_wage_band_low,adjusted_wage_band_high,adjusted_wage_median,plausibility_flag,national_median_wage,source_bls_file,source_bea_file,run_date
"New York-Newark-Jersey City, NY-NJ",13-1111,ok,,129500.00,110950.00,112.5630,75211.22,144114.85,98567.02,ok,101190.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",15-1211,ok,,127470.00,127150.00,112.5630,85871.91,141707.31,112958.97,ok,103790.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",15-1252,ok,,161090.00,161970.00,112.5630,112061.69,169078.65,143892.75,ok,133080.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",15-1243,ok,,143220.00,137290.00,112.5630,91646.46,153087.60,121967.25,ok,135980.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",15-2051,ok,,139810.00,130710.00,112.5630,81723.12,150511.27,116121.64,ok,112590.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",15-2031,ok,,121230.00,118320.00,112.5630,71062.43,127928.36,105114.47,ok,91290.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",15-1299,ok,,127150.00,115480.00,112.5630,68841.45,147917.17,102591.44,ok,108970.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"New York-Newark-Jersey City, NY-NJ",11-3021,ok,,224020.00,212400.00,112.5630,150102.61,,188694.33,ok,171200.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",13-1111,ok,,141310.00,128120.00,115.6130,79532.58,144802.06,110817.99,ok,101190.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",15-1211,ok,,149600.00,145440.00,115.6130,100507.73,149109.53,125799.00,ok,103790.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",15-1252,ok,,187840.00,174910.00,115.6130,138444.64,184598.62,151289.21,ok,133080.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",15-1243,ok,,177900.00,170700.00,115.6130,122209.44,180533.33,147647.76,ok,135980.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",15-2051,ok,,164690.00,166300.00,115.6130,110800.69,174098.07,143841.96,ok,112590.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",15-2031,ok,,124750.00,110000.00,115.6130,72068.02,133324.11,95145.01,ok,91290.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",15-1299,ok,,150750.00,157380.00,115.6130,86530.06,170171.17,136126.56,ok,108970.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Francisco-Oakland-Fremont, CA",11-3021,ok,,238050.00,221810.00,115.6130,158122.36,,191855.59,ok,171200.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Jose-Sunnyvale-Santa Clara, CA",13-1111,ok,,163740.00,141150.00,110.4230,97506.86,162864.62,127826.63,ok,101190.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Jose-Sunnyvale-Santa Clara, CA",15-1211,ok,,161480.00,160800.00,110.4230,112159.60,176321.96,145621.84,ok,103790.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Jose-Sunnyvale-Santa Clara, CA",15-1252,ok,,226510.00,208270.00,110.4230,155411.46,201543.16,188611.07,ok,133080.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Jose-Sunnyvale-Santa Clara, CA",15-1243,ok,,180700.00,166210.00,110.4230,113192.00,199913.06,150521.18,ok,135980.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Jose-Sunnyvale-Santa Clara, CA",15-2051,ok,,225590.00,173160.00,110.4230,133097.27,197350.19,156815.16,ok,112590.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
"San Jose-Sunnyvale-Santa Clara, CA",15-2031,ok,,125900.00,112550.00,110.4230,83859.34,142687.66,101926.23,ok,91290.00,data/bls/local-wage/metro_oews.csv,data/bls/local-wage/bea_rpp.csv,2026-08-15
